crs_dep_time,frequency,relative_frequency
1950,44989,0.0028246141810838307
2130,44825,0.0028143175146609777
1315,44798,0.0028126223317742885
1635,44796,0.0028124967626715707
1150,44774,0.0028111155025416757
1355,44474,0.002792280137134017
1335,44442,0.0027902710314905337
1825,44338,0.002783741438149212
1415,44078,0.002767417454795908
1525,44042,0.002765157210946989
915,43867,0.002754169914459188
1225,43667,0.0027416130041874156
1625,43613,0.002738222638414037
640,43413,0.0027256657281422647
545,43393,0.0027244100371150875
735,43393,0.0027244100371150875
1035,43347,0.0027215219477525797
1650,43082,0.0027048840416424814
1450,43036,0.002701995952279974
1835,42942,0.0026960942044522407
920,42691,0.002680335282061167
905,42581,0.0026734289814116918
1935,42528,0.002670101400189672
625,42424,0.0026635718068483507
1640,42372,0.0026603070101776896
2035,42261,0.002653337924976856
2045,42244,0.0026522705876037556
1610,42220,0.002650763758371143
1810,42120,0.0026444853032352566
1350,42055,0.0026404043073969307
1840,42035,0.0026391486163697534
1505,41969,0.0026350048359800684
1915,41641,0.002614411503134362
2040,41504,0.0026058100195981977
755,41180,0.0025854678249579263
1605,41103,0.0025806334145032942
1410,41036,0.0025764268495622506
1310,40672,0.0025535732728676247
1615,40604,0.002549303923375222
1925,40188,0.002523185550009936
1320,40185,0.002522997196355859
1405,40149,0.00252073695250694
1325,40083,0.002516593172117255
2010,39365,0.0024715138642415926
1305,39290,0.002466805022889678
655,39274,0.002465800470067936
2200,38375,0.0024093571583963195
635,37891,0.00237896943553863
500,37286,0.002340984781966519
2005,36115,0.002267464072325292
925,34884,0.0021901762896025328
2220,34509,0.00216663208284296
1905,33965,0.002132477286903739
1910,33840,0.0021246292179838812
2100,33750,0.002118978608361584
1920,33638,0.002111946738609391
2055,32798,0.0020592077154679474
2230,32143,0.0020180838343278927
2145,31815,0.0019974905014821863
2050,31717,0.001991337615449018
2215,31583,0.0019829244855669305
2155,30590,0.0019205794260675807
1959,29486,0.0018512652813673972
2115,29387,0.00184504961078287
2210,28397,0.0017828929049375968
550,27832,0.00174741963341984
2105,26769,0.00168067965532537
2205,26566,0.0016679343913995211
2135,26183,0.001643887908229077
2225,25546,0.0016038941490134821
2150,25254,0.0015855610600166944
540,25128,0.0015776502065454779
2140,24947,0.0015662862027495238
1759,24210,0.0015200139883980428
2120,24099,0.0015130449031972091
2125,24027,0.001508524415499371
2110,23135,0.0014525205956872663
2235,22368,0.0014043648447950195
1859,22229,0.0013956377921561377
1659,21433,0.0013456612892744837
2240,20082,0.0012608393603886615
555,19520,0.0012255544425249813
535,18763,0.0011780265371463228
1459,18732,0.001176080216054198
515,17880,0.0011225877782964479
1359,17481,0.0010975367423042622
1259,16410,0.0010302944877989212
959,16152,0.0010140960735483349
2245,16066,0.0010086966021314728
1559,15164,0.0009520649368057794
525,14824,0.0009307181893437664
759,14199,0.0008914778447444778
520,13930,0.0008745888004289441
2255,13826,0.0008680592070876225
1829,13546,0.0008504795327071411
2159,13369,0.0008393666671166226
2359,12882,0.000808790590604857
2059,12869,0.0008079743914371917
1429,12626,0.0007927177454569883
1629,12295,0.0007719360589572051
659,11759,0.0007382835394288553
1159,11417,0.0007168112228641245
1059,11307,0.0007099049222146497
1754,11232,0.0007051960808627351
1749,10822,0.0006794544148056018
2250,10789,0.0006773825246107594
601,10758,0.0006754362035186346
2029,10712,0.000672548114156127
1729,10615,0.0006664580126743174
1929,10518,0.0006603679111925078
1529,10367,0.0006508874439373197
859,10110,0.0006347518142380922
510,9358,0.0005875378316162282
1329,9258,0.000581259376480342
1746,9237,0.0005799409009018059
2330,9223,0.0005790619171827818
