mkt_carrier_fl_num,frequency,relative_frequency
2219,2665,0.00016732082937136655
1617,2664,0.00016725804482000767
1008,2664,0.00016725804482000767
1559,2664,0.00016725804482000767
476,2664,0.00016725804482000767
3738,2664,0.00016725804482000767
2428,2663,0.0001671952602686488
2565,2663,0.0001671952602686488
5001,2663,0.0001671952602686488
226,2662,0.00016713247571728995
941,2662,0.00016713247571728995
3896,2662,0.00016713247571728995
114,2661,0.0001670696911659311
6088,2661,0.0001670696911659311
2610,2661,0.0001670696911659311
3587,2661,0.0001670696911659311
1884,2660,0.00016700690661457224
4197,2660,0.00016700690661457224
5212,2659,0.00016694412206321336
1984,2658,0.0001668813375118545
3794,2658,0.0001668813375118545
6059,2657,0.00016681855296049564
6062,2656,0.0001667557684091368
1663,2656,0.0001667557684091368
5018,2655,0.00016669298385777793
2217,2654,0.00016663019930641907
2578,2653,0.0001665674147550602
2512,2653,0.0001665674147550602
1745,2651,0.00016644184565234248
3560,2651,0.00016644184565234248
5744,2651,0.00016644184565234248
5122,2650,0.00016637906110098362
1738,2650,0.00016637906110098362
3387,2649,0.00016631627654962476
2983,2648,0.00016625349199826588
3540,2648,0.00016625349199826588
2453,2647,0.00016619070744690702
3779,2647,0.00016619070744690702
3532,2647,0.00016619070744690702
5349,2646,0.00016612792289554817
5734,2646,0.00016612792289554817
2155,2646,0.00016612792289554817
3808,2646,0.00016612792289554817
3548,2645,0.0001660651383441893
3604,2645,0.0001660651383441893
1357,2645,0.0001660651383441893
5772,2645,0.0001660651383441893
5312,2645,0.0001660651383441893
5749,2645,0.0001660651383441893
1843,2643,0.00016593956924147157
1382,2643,0.00016593956924147157
5942,2642,0.00016587678469011271
2366,2641,0.00016581400013875386
1033,2641,0.00016581400013875386
1602,2641,0.00016581400013875386
1628,2640,0.000165751215587395
3775,2639,0.00016568843103603614
1380,2639,0.00016568843103603614
5206,2639,0.00016568843103603614
5008,2638,0.00016562564648467726
2515,2638,0.00016562564648467726
3553,2638,0.00016562564648467726
218,2638,0.00016562564648467726
1239,2638,0.00016562564648467726
5473,2636,0.00016550007738195955
5737,2635,0.0001654372928306007
5016,2634,0.00016537450827924184
3343,2634,0.00016537450827924184
3628,2633,0.00016531172372788295
2017,2633,0.00016531172372788295
3861,2633,0.00016531172372788295
1997,2633,0.00016531172372788295
5317,2632,0.0001652489391765241
1563,2632,0.0001652489391765241
5383,2631,0.00016518615462516524
3539,2631,0.00016518615462516524
2564,2629,0.00016506058552244753
3399,2628,0.00016499780097108867
2308,2627,0.00016493501641972979
5722,2626,0.00016487223186837093
3326,2626,0.00016487223186837093
2609,2626,0.00016487223186837093
5320,2626,0.00016487223186837093
220,2626,0.00016487223186837093
5076,2626,0.00016487223186837093
3565,2625,0.00016480944731701207
166,2625,0.00016480944731701207
4846,2625,0.00016480944731701207
1587,2625,0.00016480944731701207
5216,2624,0.00016474666276565322
5291,2624,0.00016474666276565322
4816,2623,0.00016468387821429436
3598,2622,0.00016462109366293548
60,2621,0.00016455830911157662
1022,2619,0.0001644327400088589
3506,2619,0.0001644327400088589
3315,2619,0.0001644327400088589
5490,2619,0.0001644327400088589
2233,2619,0.0001644327400088589
1432,2618,0.00016436995545750005
2221,2617,0.00016430717090614117
3433,2616,0.0001642443863547823
5492,2616,0.0001642443863547823
4827,2615,0.00016418160180342345
4609,2613,0.00016405603270070574
1487,2613,0.00016405603270070574
5235,2613,0.00016405603270070574
4531,2613,0.00016405603270070574
5766,2612,0.00016399324814934686
2461,2612,0.00016399324814934686
3857,2611,0.000163930463597988
2479,2611,0.000163930463597988
5549,2610,0.00016386767904662914
5062,2610,0.00016386767904662914
1609,2610,0.00016386767904662914
1502,2609,0.00016380489449527029
2361,2608,0.00016374210994391143
6014,2607,0.00016367932539255257
5014,2607,0.00016367932539255257
1436,2607,0.00016367932539255257
4660,2606,0.0001636165408411937
3663,2606,0.0001636165408411937
3770,2606,0.0001636165408411937
921,2606,0.0001636165408411937
4066,2605,0.00016355375628983483
3316,2605,0.00016355375628983483
3869,2605,0.00016355375628983483
5748,2603,0.00016342818718711712
5680,2603,0.00016342818718711712
4662,2603,0.00016342818718711712
2474,2603,0.00016342818718711712
18,2603,0.00016342818718711712
3579,2603,0.00016342818718711712
3899,2602,0.00016336540263575826
5021,2600,0.00016323983353304052
3841,2600,0.00016323983353304052
5404,2599,0.00016317704898168167
2447,2598,0.0001631142644303228
5379,2597,0.00016305147987896395
1214,2596,0.00016298869532760507
2171,2596,0.00016298869532760507
964,2596,0.00016298869532760507
4390,2595,0.0001629259107762462
5345,2595,0.0001629259107762462
3333,2594,0.00016286312622488736
412,2594,0.00016286312622488736
5883,2594,0.00016286312622488736
3541,2594,0.00016286312622488736
3549,2594,0.00016286312622488736
3880,2593,0.0001628003416735285
5746,2593,0.0001628003416735285
3783,2592,0.00016273755712216964
1240,2590,0.0001626119880194519
4648,2590,0.0001626119880194519
5878,2590,0.0001626119880194519
5738,2590,0.0001626119880194519
