origin_airport_id,frequency,relative_frequency
12223,698,0.0002969584730378299
15581,695,0.000295682147222481
15626,694,0.0002952567052840314
11503,693,0.0002948312633455818
14738,691,0.0002939803794686826
12175,688,0.00029270405365333375
10184,687,0.00029227861171488413
11337,686,0.0002918531697764345
11027,686,0.0002918531697764345
10349,683,0.00029057684396108566
14849,682,0.00029015140202263604
10996,679,0.00028887507620728724
11369,678,0.0002884496342688376
10926,677,0.000288024192330388
11982,672,0.0002858969826381399
13184,669,0.0002846206568227911
10225,665,0.00028291888906899264
11731,662,0.0002816425632536438
14698,659,0.000280366237438295
11252,657,0.00027951535356139575
12094,655,0.0002786644696844965
14797,654,0.0002782390277460469
13289,649,0.00027611181805379885
14025,648,0.00027568637611534924
15513,647,0.0002752609341768996
10561,644,0.00027398460836155076
12610,637,0.0002710065147924035
12748,636,0.00027058107285395387
10783,632,0.0002688793051001554
13952,627,0.00026675209540790736
11111,617,0.00026249767602341123
15991,616,0.0002620722340849616
12265,606,0.0002578178147004655
13594,606,0.0002578178147004655
13370,604,0.00025696693082356625
11126,601,0.0002556906050082174
13863,596,0.00025356339531596936
12991,596,0.00025356339531596936
12294,594,0.0002527125114390701
14273,594,0.0002527125114390701
11537,593,0.0002522870695006205
10911,588,0.00025015985980837246
13408,588,0.00025015985980837246
13715,585,0.0002488835339930236
13898,577,0.0002454799984854267
11164,576,0.0002450545565469771
15023,573,0.00024377823073162824
14582,572,0.00024335278879317863
16304,572,0.00024335278879317863
11869,569,0.0002420764629778298
12235,569,0.0002420764629778298
13767,568,0.00024165102103938018
15058,563,0.00023952381134713212
14125,561,0.00023867292747023288
13934,553,0.000235269391962636
12671,552,0.00023484395002418637
11150,550,0.00023399306614728716
14493,547,0.0002327167403319383
12737,546,0.00023229129839348869
12633,542,0.00023058953063969024
13347,539,0.0002293132048243414
16128,538,0.0002288877628858918
12772,532,0.0002263351112551941
10243,531,0.0002259096693167445
11764,524,0.00022293157574759722
10396,523,0.0002225061338091476
10244,521,0.00022165524993224836
13795,519,0.00022080436605534915
12720,519,0.00022080436605534915
11980,518,0.00022037892411689954
13964,508,0.0002161245047324034
14588,506,0.00021527362085550417
11067,500,0.0002127209692248065
15841,498,0.00021187008534790728
13579,496,0.00021101920147100804
13306,496,0.00021101920147100804
15041,495,0.00021059375953255842
14919,494,0.00021016831759410883
13377,494,0.00021016831759410883
14952,494,0.00021016831759410883
14716,493,0.00020974287565565921
10970,493,0.00020974287565565921
12156,491,0.00020889199177875998
12728,490,0.00020846654984031036
10676,487,0.00020719022402496153
10136,485,0.0002063393401480623
13076,484,0.00020591389820961268
11511,484,0.00020591389820961268
13034,481,0.00020463757239426385
16101,481,0.00020463757239426385
12653,480,0.00020421213045581423
11711,479,0.0002037866885173646
11214,479,0.0002037866885173646
14004,474,0.00020165947882511655
12051,471,0.00020038315300976772
12324,462,0.0001965541755637212
11617,461,0.0001961287336252716
11915,458,0.00019485240780992276
12898,454,0.0001931506400561243
11588,452,0.00019229975617922508
12250,450,0.00019144887230232584
12866,449,0.00019102343036387623
13127,447,0.00019017254648697702
16390,442,0.00018804533679472895
14259,440,0.00018719445291782972
14119,440,0.00018719445291782972
15725,437,0.0001859181271024809
11187,433,0.00018421635934868242
13290,430,0.0001829400335333336
14207,428,0.00018208914965643435
14819,427,0.00018166370771798476
16163,426,0.00018123826577953514
12389,425,0.00018081282384108552
11762,423,0.0001799619399641863
10631,421,0.00017911105608728708
11123,420,0.00017868561414883746
14987,419,0.00017826017221038784
10204,418,0.00017783473027193822
14559,416,0.000176983846395039
15853,413,0.00017570752057969016
13105,412,0.00017528207864124057
14637,411,0.00017485663670279095
14314,409,0.0001740057528258917
12397,407,0.0001731548689489925
15246,405,0.00017230398507209327
14222,400,0.0001701767753798452
12127,400,0.0001701767753798452
14794,399,0.00016975133344139558
