fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-05-03,DL,DL,DL,1808,DL,N992AT,1808,12217,HSV,"Huntsville, AL",10397,ATL,"Atlanta, GA",1659,1651,-8,17,1708,1839,4,1858,1843,-15,0,,0,N,59,52,31,1,151,,,,,,,,,
2019-09-14,UA,UA,UA,254,UA,N73860,254,11292,DEN,"Denver, CO",13930,ORD,"Chicago, IL",1730,1737,7,20,1757,2049,4,2100,2053,-7,0,,0,N,150,136,112,1,888,,,,,,,,,
2018-05-07,AA,AA,AA,1351,AA,N944NN,1351,10821,BWI,"Baltimore, MD",11298,DFW,"Dallas/Fort Worth, TX",705,701,-4,16,717,857,12,934,909,-25,0,,0,N,209,188,160,1,1217,,,,,,,,,
2018-08-15,WN,WN,WN,1713,WN,N7736A,1713,14057,PDX,"Portland, OR",13796,OAK,"Oakland, CA",1050,1048,-2,22,1110,1237,5,1235,1242,7,0,,0,N,105,114,87,1,543,,,,,,,,,
2018-02-04,AA,AA,AA,1705,AA,N191UW,1705,10792,BUF,"Buffalo, NY",11057,CLT,"Charlotte, NC",825,814,-11,24,838,1033,55,1036,1128,52,0,,0,N,131,194,115,1,546,0,0,52,0,0,,,,
2018-11-27,AA,AA_CODESHARE,AA,3069,OO,N713SK,3069,14107,PHX,"Phoenix, AZ",15376,TUS,"Tucson, AZ",1626,1743,77,18,1801,1823,4,1715,1827,72,0,,0,N,49,44,22,1,110,41,0,0,0,31,,,,
2019-09-12,UA,UA_CODESHARE,UA,6153,YV,N86309,6153,14193,PNS,"Pensacola, FL",12266,IAH,"Houston, TX",1151,1146,-5,8,1154,1315,5,1340,1320,-20,0,,0,N,109,94,81,1,489,,,,,,,,,
2019-10-22,AA,AA_CODESHARE,AA,4946,PT,N634AE,4946,14574,ROA,"Roanoke, VA",11057,CLT,"Charlotte, NC",1105,1416,191,38,1454,1537,11,1227,1548,201,0,,0,N,82,92,43,1,155,0,10,10,0,181,,,,
2018-05-04,AA,AA,AA,123,AA,N782AN,123,11298,DFW,"Dallas/Fort Worth, TX",12173,HNL,"Honolulu, HI",915,923,8,24,947,1250,3,1244,1253,9,0,,0,N,509,510,483,1,3784,,,,,,,,,
2018-07-27,AA,AA_CODESHARE,AA,5260,OH,N571NN,5260,14730,SDF,"Louisville, KY",11057,CLT,"Charlotte, NC",1154,1154,0,18,1212,1315,22,1333,1337,4,0,,0,N,99,103,63,1,335,,,,,,,,,
2019-07-28,AA,AA,AA,1156,AA,N871NN,1156,13930,ORD,"Chicago, IL",14831,SJC,"San Jose, CA",1705,1704,-1,16,1720,1919,4,1936,1923,-13,0,,0,N,271,259,239,1,1829,,,,,,,,,
2018-05-10,AA,AA_CODESHARE,AA,2984,OO,N752SK,2984,11433,DTW,"Detroit, MI",13930,ORD,"Chicago, IL",1036,1033,-3,17,1050,1032,16,1109,1048,-21,0,,0,N,93,75,42,1,235,,,,,,,,,
2019-11-04,DL,DL,DL,1640,DL,N3734B,1640,10397,ATL,"Atlanta, GA",13891,ONT,"Ontario, CA",2000,1957,-3,9,2006,2118,4,2156,2122,-34,0,,0,N,296,265,252,1,1900,,,,,,,,,
